short_name,EN_longname,ZH_longname
AL,Alabama,亚拉巴马州
AK,Alaska,阿拉斯加州
AZ,Arizona,亚利桑那州
AR,Arkansas,阿肯色州
CA,California,加利福尼亚州
CO,Colorado,科罗拉多州
CT,Connecticut,康涅狄格
DE,Delaware,特拉华
FL,Florida,佛罗里达
GA,Georgia,格鲁吉亚
HI,Hawaii,夏威夷
ID,Idaho,爱达荷州
IL,Illinois,伊利诺伊州
IN,Indiana,印第安纳州
IA,Iowa,爱荷华
KS,Kansas,堪萨斯
KY,Kentucky,肯塔基州
LA,Louisiana,路易斯安那州
ME,Maine,缅因州
MD,Maryland,大学公园市
MA,Massachusetts,麻萨诸塞州
MI,Michigan,500
MN,Minnesota,明尼苏达州
MS,Mississippi,密西西比州
MO,Missouri,密苏里州
MT,Montana,蒙大纳
NE,Nebraska,内布拉斯加州
NV,Nevada,内华达
NH,New Hampshire,新罕布什尔州
NJ,New Jersey,新泽西州
NM,New Mexico,新墨西哥州
NC,North Carolina,北卡罗来纳州
ND,North Dakota,北达科他州
OH,Ohio,俄亥俄州
OK,Oklahoma,俄克拉何马
OR,Oregon,俄勒冈州
PA,Pennsylvania,宾夕法尼亚州
RI,Rhode Island,罗得岛州
SC,South Carolina,南卡罗来纳州
SD,South Dakota,南达科他州
TN,Tennessee,田纳西州
TX,Texas,德克萨斯州
UT,Utah,犹他州
VT,Vermont,佛蒙特州
VA,Virginia,弗吉尼亚州
WA,Washington,华盛顿
WV,West Virginia,西弗吉尼亚州
WI,Wisconsin,麥迪遜
WY,Wyoming,怀俄明州
